text,polarity,magnitude
I have been a teacher for 15 years.,1,0.1
The teachers greeted the little boy.,1,0.1
Patience is essential for a teacher.,1,0.8
It is not fitting for a teacher to overly favor certain pupils over others.,-1,0.8
A student raised his hand when the teacher finished the reading.,1,0.2
"When the teacher is very strict, the students must mind their P's and Q's.",-1,0.5
An ounce of practice is worth a pound of precept.,1,0.2
The vicar often refers to the Bible in his sermon.,1,0.5
The instructor advised me to get exercise every day.,1,0.4
The church bells are ringing.,-1,0.4
The church is on the hill overlooking the city.,1,0
The church sits on the outskirts of town.,1,0
Churches are designated on the map with crosses.,-1,0.3
The church is surrounded by woods and lakes.,1,0.3
The church is between my house and yours.,-1,0.3
The church is decorated with flowers for the wedding.,1,0.3
The church is at the foot of the hill.,-1,0
The church stood alone on the hill.,-1,0.1
The church is just across the street.,-1,0.7
The clock in the church tower struck nine.,-1,0.3
The church bell used to ring at three.,-1,0.4
All the church bells started ringing together.,-1,0.3
The church clock gains three minutes a week.,1,0.4
The church congregation was moved by the fine sermon.,1,0.1
Let's pass by the church.,1,0
Go straight ahead until you reach the church.,-1,0.2
Whoever goes to church believes in God.,1,0.1
There is usually an organ in a church.,-1,0
Rituals were performed in churches.,1,0.5
Churches were erected all over the island.,-1,0.1
You must not forget your schoolbooks.,1,0
Listen to me with your textbooks closed.,-1,0.7
Where do we get the textbooks?,-1,0.6
You must read the textbook closely.,1,0.4
Each chapter in the textbook is followed by about a dozen comprehension questions.,-1,0.1
Open your texts to page 50.,-1,0.3
The educational system is in transition.,1,0.1
People want more money to expand educational institutions.,-1,0.2
And I call on the chairman of the Education Committee to support the motion.,-1,0
The local school board would go to any length to ban that book.,-1,0
The Board of Education governs the schools.,1,0.1
Education is one of the most essential aspects of life.,1,0.8
Education is an investment in the future.,1,0.8
Education does not consist simply in learning a lot of facts.,1,0.2
Education aims to develop potential abilities.,-1,0.8
Education helps to mold character.,1,0.7
Education is the agent of progress.,-1,0.1
Education is a critical element.,1,0.6
"Education must not be limited to our youth, but it must be a continuing process through our entire lives.",1,0.4
Education starts at home.,1,0.1
Education shouldn't be aimed at passing a test.,-1,0.7
"The goal of education is not wealth or status, but personal development.",-1,0
Education should be carried further than it is now.,-1,0.1
It is impossible to exaggerate the importance of education.,-1,0.8
What is the ultimate purpose of education?,-1,0.1
Educational reforms still have a long way to go.,1,0.2
The value of education cannot be overemphasized.,-1,0.3
My education has made me what I am.,1,0.6
One of the great superstitions about education is that learning is the result of teaching.,1,0.7
More money for education will spur economic growth.,1,0.9
Examinations play a large part in education.,1,0
Education doesn't consist of learning a lot of facts.,1,0
Education means something more than going to school.,-1,0
Education should not be a burden on the parents as well as on the children.,-1,0.4
Teaching is learning.,1,0.5
Teaching asks for a lot of patience.,-1,0.3
With teaching and studying my time is taken up.,1,0.1
They learn to do without being taught.,1,0.1
Where did you go for that 30 minutes you were gone?,-1,0.9
Oh! Show it to me please.,-0.3,0.3
Thank you for the information.,1,0.8
"Kyoko went away, humming a song.",-1,0.2
Dinosaurs are now extinct.,-1,0
Fear always springs from ignorance.,1,0.3
Fear robbed him of speech.,-1,0.8
His legs were trembling from fear.,-1,0.4
"Sorry, but can you show me the way to the next village?",-1,0.7
May I make so bold as to request your assistance?,-1,0.2
Will you kindly come here at nine?,1,0.1
"I am very sorry, but I must cancel our appointment for February 27.",-1,0.9
I'm afraid you have to work overtime.,-1,0.4
"The victim of blackmail has been paying hush money for years, but now he realizes it is foolish, and he has decided not to pay a red cent more.",-1,0.9
Fear crept into my heart and settled there.,1,0.4
It's awfully cold today.,-1,0.7
It's awfully cold this evening.,-1,0.6
A fearful thought entered my mind.,-1,0.2
A terrible fate awaited him.,-1,0.8
Would you please open the window?,-1,0
Move over a little if you please.,-1,0.1
Would you be kind enough to explain it to me?,-1,0
"Sorry, we're full today.",-1,0.8
Would you mind opening the window?,-1,0
Would you be so kind as to post my letter?,-1,0.5
"I'm sorry, but he isn't home.",-1,0.6
Please make certain your seat belt is fastened.,-1,0.6
"Excuse me, but let me have another look at the photo.",-1,0.3
Don't be afraid.,-1,0.2
"It will be fine weather tomorrow, perhaps.",1,0.1
She is probably over forty.,-1,0.2
It is probable that he will win the speech contest.,1,0.4
I am afraid to jump over the ditch.,-1,0.4
The bold man glanced at the gangster with hatred and contempt.,-1,0.8
The heat is intense.,1,0.2
There's nothing to be afraid of.,-1,0.2
Mr. Satoyama's work made a big impression in the world of haiku.,1,0.2
Flying against a strong wind is very difficult.,-1,0.7
The strong wind died away at night.,-1,0.7
Strong winds stripped the tree of its leaves.,-1,0.1
The strong wind indicates that a storm is coming.,1,0.5
"When they pass through strong wind, the planes rock like this, but don't worry.",1,0.7
The strong wind cut the electric wires in several places.,1,0
They say we're going to get high winds.,-1,0
"Fanned by a strong wind, the fire spread in an instant.",1,0.2
We got our roof blown off in the gale.,1,0
A strong wind began to set in.,-1,0.4
The wind blew in gusts.,1,0.2
Tall buildings may sway in a strong wind.,-1,0
There was a strong wind.,-1,0
The thieves knocked off another bank today in a daytime robbery.,-1,0.8
The robbers fell on him from behind the trees.,-1,0.5
The robber attacked her on a back street.,-1,0.1
The burglar locked the couple in the basement.,-1,0.4
The robber bashed her head in.,1,0
The thief forced her to hand over the money.,-1,0.8
The burglar broke into the post office in broad daylight.,-1,0.9
The robber aimed his gun at the clerk.,-1,0.4
The burglar tied my hands behind my back with a rope.,1,0.3
The robber aimed his gun at the police officer.,-1,0.4
The robbers made away with all the money in the safe.,-1,0.6
The cat burglar must have entered the mansion from the roof.,1,0.3
The burglar was traced by one of the things he had left on the scene.,-1,0.1
The burglar shut the child in the closet.,-1,0.3
The robber seized the bag from his hand.,-1,0.2
Robbers wrecked the mail train.,-1,0.8
The burglars broke into the bank at night.,-1,0.9
The robbers fell on her there.,-1,0.4
The burglar burst into his house.,1,0
A burglar broke into his house.,-1,0.5
A burglar broke into the bank last night.,-1,0.8
A thief broke into the house to steal the money.,-1,0.9
Have you heard that a burglar broke into my neighbor's house?,-1,0.7
"As long as there are sovereign nations possessing great power, war is inevitable.",1,0.8
The slugger was easily put out.,1,0
The strong will survive and the weak will die.,1,0
The strong must help the weak.,1,0
The strong should take care of the weak.,-1,0.7
The aggressive salesman urged me to sign the contract right away.,-1,0.8
"Bite down tightly, please.",-1,0.1
The sail tightened in the strong wind.,1,0.1
A strong wind was blowing.,1,0.7
A strong wind is blowing and I can't walk fast.,-1,0.1
The strong winds were blowing.,1,0.5
A strong wind arose.,1,0.4
A strong wind blew all day long.,1,0.7
"Due to the intense sunlight, his back was sunburnt.",-1,0.2
The hot sun baked the ground dry.,1,0
The strong east wind lashed at our faces.,1,0.4
No one but a strong man is fit for the post.,-1,0.5
A strong yen is shaking the economy.,1,0
I was drenched to the skin because of the heavy rain.,1,0.3
It is hard to wake up without a strong cup of coffee.,-1,0.4
The sound of shouting grew faint.,-1,0.6
You'll get a reward for your cooperation.,1,0.3
"When you want cooperation, share over many hands.",1,0
I'm willing to do the job if you cooperate.,1,0.1
We can lift the restrictions on imports once the joint agreement is signed.,-1,0.7
There is very little probability of an agreement being reached.,-1,0.7
The society made him president.,1,0.9
The association is still a far cry from being well organized.,1,0.5
The society was founded in 1990.,1,0.5
The fingerprints left on the weapon correspond with the suspect's.,-1,0.4
A fanatic threw a bomb at the king's coach.,1,0.5
The GOP accused the Democrats of pork barrel politics.,1,0
"A republic is a nation whose head is not a king or queen, but a president.",-1,0.7
We suggested Kyoritsu Bussan approach you for assistance.,1,0.3
What's everybody's business is nobody's business.,-1,0.8
They came to terms with each other on how to start a joint venture.,-1,0.3
Two different parties with common interests were on the warpath when he cut in to settle the dispute.,1,0.2
Communism is the system practiced in the Soviet Union.,1,0
"Communism was the political system in the Union of Soviet Socialist Republics, but that stopped in 1993.",-1,0.6
"In communism, the means of production are owned by the state.",-1,0
"As communism has collapsed, capitalism is now accused of trying to ""dominate the world.""",-1,0.7
We will be willing to make a deal with you after the auction.,-1,0.4
I obtained the painting at an auction.,-1,0
"Before the horse race begins, the jockeys grip the reins tightly to restrain the impatient horses.",1,0.3
"With horse racing and such, these are called ""stakes"". For this meaning the plural form is often used.",-0.4,0.6
"I'm tickled pink about winning 10,000 yen at the horse races.",1,0.3
I just lost at the races so I'm flat broke.,-1,0.9
The horses are coming down the track and it's neck and neck.,1,0.2
Competition is not by nature evil.,-1,0.6
The competition has become fierce.,1,0.3
"Having run the race, Jane had two glasses of barley tea.",-1,0.9
Effectively dealing with competition is an important part of life.,1,0.3
He came in fifth in the race.,1,0.4
Competition is neither good nor evil in itself.,-1,0.8
Competition is not bad in itself.,-1,0.5
How long does it take to get to the stadium?,-1,0.5
How did you get to the stadium?,-1,0.7
The athlete was full of spirit and confidence.,1,0.7
The athletic meeting went on as scheduled.,-1,0.1
Supply is relative to demand.,-1,0
Supplies cannot keep up with the demand.,-1,0.8
The supply can not keep up with the demand.,-1,0.8
Supply will soon overtake demand.,-1,0
Your name was given to us by Mr. Hayashi of Keyo Steel Corporation.,-1,0
Do you have a map of the city of Kyoto?,-1,0.5
Will you tell me the way to Kyoto Station?,-1,0.2
You should visit Kyoto.,1,0.1
"You should visit Kyoto, which is famous for its old temples and shrines.",-1,0
Kyoto is worth visiting.,1,0.8
Kyoto gets thousands of visitors from all over the world each year.,1,0.2
Kyoto is not as large as Osaka.,-1,0.2
Kyoto gets lots of visitors from all over the world.,1,0.3
Kyoto is famous for its shrines and temples.,1,0.1
Kyoto is most beautiful in autumn.,1,0.9
Kyoto is most crowded when it is most beautiful.,1,0.7
Kyoto is famous for its old temples.,-1,0.2
Kyoto is internationally famous for its scenic beauty.,1,0.3
Kyoto depends on the tourist industry.,1,0.2
Kyoto was the former capital of Japan.,1,0
Kyoto is visited by many tourists.,-1,0.5
Kyoto was an old capital of Japan.,-1,0.3
How do you like Kyoto?,-1,0.6
Kyoto is visited by many people every year.,1,0
Kyoto is worth visiting once.,1,0.8
The charm of Kyoto consists of the beauty of its old temples.,1,0.2
There was an enormous traffic jam in downtown Kyoto.,-1,0.8
Are you from Kyoto?,-1,0.2
Summers are very hot in Kyoto.,-1,0
Don't forget to give us a ring when you arrive in Kyoto.,-1,0.1
He acted as a guide while I was staying in Kyoto.,-1,0.2
I would often visit the museum when I lived in Kyoto.,1,0.2
There are many famous old buildings in Kyoto.,-1,0.2
A heavy snow fell in Kyoto for the first time in ages.,1,0.5
There are many places to visit in Kyoto.,1,0
Kyoto has many universities.,1,0
There are many shrines in Kyoto.,-1,0
Have you been to Kyoto?,-1,0.1
There are many old temples in Kyoto.,-1,0.3
There are a lot of sights in Kyoto.,1,0.1
Kyoto has many places to see.,-1,0
There are many places to see in Kyoto.,-1,0
I have been to Kyoto once.,1,0
There are many sights to see in Kyoto.,1,0.1
My brother in Kyoto became a teacher.,1,0.1
"Speaking of Kyoto, have you ever visited the Kinkakuji Temple?",1,0.3
How about stopping over at Kyoto and sightseeing at the old capital?,-1,0.2
"In Kyoto, you can see both old and modern buildings.",1,0.2
"From the airport, the Keisei Line Sky-Liner will take you to Ueno Station in 75 minutes.",-1,0.1
Kyoko is lying on the grass.,-1,0.7
Kyoko had the kindness to carry my baggage for me.,1,0.8
"I don't know exactly where Kyoko lives, but it's in the direction of Sannomiya.",1,0.1
Please hide the blueberry jam where Takako can't see it.,-1,0.9
Fishing is one of the most popular hobbies.,1,0.7
Fishing just isn't my line.,-1,0.8
I prefer staying home to going fishing.,1,0.2
My hobbies are fishing and watching television.,1,0.6
How is it going in the fish market?,-1,0.6
Eating fish is good for your health.,1,0.8
"Fish, please.",-1,0
They sell fish and meat.,-1,0.2
Fish are cold-blooded animals.,-1,0.2
A fish swims by moving its tail.,1,0.5
Fish live in the water.,1,0.1
Fish cannot live out of water.,-1,0.3
Do you like fish?,-1,0.5
Fish live in the sea.,1,0.2
There are as good fish in the sea now as ever.,1,0.5
Do you think fish can hear?,-1,0.4
A fish can swim.,1,0.3
Is the fish still alive?,-1,0.2
I'll show you how to catch fish.,-1,0.3
I got a fish bone stuck in my throat.,-1,0.8
I nearly choked on a fishbone.,1,0
Air is to us what water is to fish.,-1,0
How often do you feed the fish?,-1,0.7
I seasoned the fish with salt and pepper.,-1,0.1
Fish and red wine don't go together.,-1,0.7
"Fish and meat are both nourishing, but the latter is more expensive than the former.",1,0.1
Fishing is not in my life.,-1,0.8
"Eat not only fish, but also meat.",1,0
I can no more swim than a fish can walk.,1,0.1
A fish leaped out of the water.,1,0
We saw a fish splashing in the water.,-1,0
The fish is burnt black.,-1,0.8
Fish have ceased to live in this river.,1,0.5
I'd like some fish.,1,0
I'm allergic to fish.,-1,0.3
A third party makes off with the profits.,-1,0.7
I have no intention of fishing in troubled waters.,1,0.4
"Two dogs fight for a bone, and the third runs away with it.",-1,0
The fisherman exaggerated the size of the fish he had caught.,-1,0.8
The fisherman cast his line into the water.,1,0.2
I can't judge distance.,1,0.2
A fishing light wavers under the lee of an island.,1,0.2
You can't enter the building without a permit.,-1,0.8
You can't enter here unless you have a pass.,-1,0.9
Don't enter the room without leave.,-1,0.8
Thank you for granting your permission.,1,0
Please refrain from speaking without permission.,-1,0.9
You mustn't enter this room without permission.,-1,0.9
You shouldn't read people's private letters without permission.,-1,0.9
You cannot take a picture in the theater without permission.,-1,0.8
Please refrain from smoking without permission.,-1,0.9
We talked quite frankly.,-1,0.5
I'm going to speak to you with utmost candor so I want you to take everything I'm about to say at face value.,1,0.1
"In the end, he landed in jail.",-1,0.4
"And on top of it all, I was fired.",-1,0.7
A huge federal budget deficit has been plaguing the American economy for many years.,-1,0.5
I was hit by a huge chunk of meat.,-1,0.8
A gigantic bird came flying toward him.,-1,0.8
A huge tanker put off just now.,-1,0.4
I have two tickets to the Yomiuri Giants - Chunichi Dragons night game. Want to go?,-0.3,0.6
"It's so comfortable here, I really feel at home.",1,0.9
An izakaya is a Japanese style pub.,1,0.1
We're doing the same old routine: going bar hopping and then to karaoke.,-1,0.7
Those who were present were disappointed at the report.,-1,0.9
Those present were all moved to tears.,-1,0.6
Those present were surprised at the news.,1,0.4
The living room adjoins the dining room.,1,0.3
"When I was playing video games in the living room, Mother asked me if I would go shopping with her.",-1,0.1
I had an operation for glaucoma last year.,1,0
I had a miscarriage last year.,-1,0
I had a stroke last year.,1,0
I had otitis media last year.,1,0
I delivered my first child last year.,1,0.1
I put on a little weight last year.,1,0.1
I lost my wife last year.,-1,0.1
I took an art class last year.,1,0
"Having failed last year, I don't like to try again.",-1,0.9
"Thanks to the amusement park built last year, the city has become popular.",1,0.6
We could go out together like we did last year.,1,0.1
Mr Brown took charge of this class last year.,-1,0.3
There was a sharp rise in prices last year.,-1,0
The crops failed last year.,-1,0.5
We had a lot of snow last year.,1,0.1
We had a lot of rain last year.,1,0.2
We had frequent snowfalls last year.,1,0
I wore out two pairs of jogging shoes last year.,-1,0
We had a mild winter last year.,1,0.1
We had a good deal of snow last winter.,1,0.7
There was a lot of snow last winter.,1,0
I took a cooking class last spring and learned to bake bread.,1,0.3
We moved to New York last fall.,1,0.1
I visited my father's hometown last summer.,1,0.6
She went there last summer.,1,0.6
"Last summer, I worked part time on the farm.",1,0.2
Last summer I traveled to Italy.,1,0.4
"Last summer, I always took a walk in the morning.",1,0.6
We had a good deal of rain last summer.,1,0.8
I'll never forget visiting Paris last summer.,1,0.8
The village which I visited last summer was a small one in Nagano Prefecture.,1,0.1
It was not until last summer that my oldest son learned to swim.,1,0.1
"As compared with last summer, we haven't had so much rain this year.",1,0.7
Last year's pop hit was set off by a serial TV drama.,-1,0.6
"Compared with last year, this year's crops are much better.",-1,0.2
I grew tomatoes last year and they were very good.,1,0.8
He began to work for that company last year.,-1,0.7
We had a kid just last year.,1,0
"Hence, loathed melancholy.",-1,0
Out of sight out of mind. When you're separated you lose touch.,-1,0.4
My sister married a high school teacher last June.,1,0.3
The milkman came around at six every morning.,1,0
Is there a milkman?,-1,0.2
Add a little milk.,1,0.1
Do you have some milk?,-1,0.4
Won't you have another glass of milk?,-1,0.9
We make milk into cheese and butter.,1,0.2
I bought two bottles of milk.,-1,0.2
I want a quart of milk.,1,0
The milk froze and became solid.,-1,0.5
Milk is a popular beverage.,1,0.3
Milk boils at a higher temperature than water.,1,0
Milk does not agree with me.,-1,0.8
Milk makes us strong.,1,0.3
Milk easily turns sour.,-1,0.3
Milk is made into butter and cheese.,1,0.1
Milk is a good beverage.,1,0.7
There's only a little milk left.,-1,0.1
Milk is made into butter.,1,0
"Milk can be made into butter, cheese, and many other things.",1,0.3
Milk will do you good. You'd better drink it every day.,1,0.7
The milk turned sour.,-1,0.6
Will you drink wine instead of milk?,-1,0.1
The milk was adulterated with water.,-1,0.3
Blend milk and eggs together.,1,0.2
The milk has gone bad.,-1,0.9
The milk has turned sour.,-1,0.6
"You must buy milk, eggs, butter, and so on.",1,0.6
It will be four years before the definite result of beef liberalization emerges.,-1,0.6
"Beef, please.",-1,0.1
Have you got any preference between beef and lamb?,-1,0.3
You cannot sell the cow and drink the milk.,-1,0.7
I raise cattle.,-1,0
"And he chased the cattle, the sheep, and the people out of the temple.",-1,0
A cow is a useful animal.,1,0.1
The cows were moving very slowly through the long green grass.,-1,0.5
The cows looked big and docile.,-1,0.6
Cows live on grass.,1,0.1
Cattle feed on grass.,-1,0.1
Cows supply us with many things we need.,1,0.1
Cows give us milk.,-1,0.5
Cows provide us with milk.,1,0
Cows provide us with good milk.,1,0.5
The cow is anything but bright.,1,0
Cows are anything but bright.,1,0.1
The cow missed being hit by a gnat's whisker.,-1,0.3
"An ox is captured by the horns, a person is bound by his word.",1,0.3
The cow supplies us with milk.,-1,0.1
Cows supply us with milk.,1,0
"Cows give us milk, and hens eggs.",-1,0.3
A cow gives us milk.,-1,0.6
Cows are sacred to Hindus.,-1,0
Cows are more useful than any other animal in this country.,1,0.6
Yoke the oxen to the plow.,1,0
Cattle were grazing in the field.,-1,0.3
Cows are eating grass in the meadow.,1,0
The cows are eating grass.,-1,0.1
I ran into an old friend.,-1,0.3
Meeting my old friend was very pleasant.,1,0.6
Old friends called on me.,-1,0.5
My old friend dropped in at my house.,1,0
"My old friend wrote to me, informing me of his return from abroad.",-1,0.6
Old friends were invited to the reception.,-1,0.7
"I've used up my wages, but I have my bank account to fall back on.",-1,0.8
As soon as I get paid I will pay you back.,-1,0.9
I received a five hundred dollar advance on my pay.,-1,0.8
Wages vary in relation to the age of the worker.,1,0.8
The salary is fixed according to age and experience.,1,0.2
The wages will be paid in proportion to the work done.,-1,0.8
You will be paid according to your ability.,-1,0.5
Pay will be based on experience and educational background.,-1,0.8
Can I get an advance on my salary?,-1,0.4
"In terms of salary, that job is fantastic.",1,0.8
"Aside from his salary, he receives money from investments.",1,0.2
"It's a good job, as far as the pay goes.",1,0.6
He is not better off because he is poorly paid.,-1,0.9
His low salary prevents him from buying the house.,-1,0.1
You should not despise a man because he is poorly paid.,-1,0.9
"Since I got a raise, I can manage.",1,0.1
"This is a better way of paying people, according to Paula Grayson.",1,0
The income tax rate increases in proportion as your salary rises.,-1,0.5
Do you have a school lunch at school?,-1,0.3
The printer needs paper.,-1,0.2
The waiter brought a new plate.,1,0
"Waiter, please bring me some water.",-1,0.6
"On behalf of my classmates, let me say a few words of thanks to you.",1,0.5
The classmates felt for him deeply.,1,0.8
His classmates' jeers reduced him to tears.,-1,0.3
"Some of the classmates passed the examination, but the others didn't.",-1,0.4
He will wriggle out of the fix.,-1,0.7
A cornered rat will bite a cat.,1,0.7
Necessity is the mother of invention.,1,0
"Ultimately, space flight will be beneficial to all mankind.",1,0.7
The stadium was quite still.,1,0.1
There were a lot of people in the stadium.,-1,0.3
The ball rolled into the stream.,-1,0
The ball slightly curved.,1,0.2
The ball bounced over the wall.,-1,0.5
One-third of the Earth's surface is desert.,1,0
Crying is an expression of grief.,-1,0.3
It's not worth crying over.,-1,0.9
To weep is to make less the depth of grief.,-1,0.2
Misfortunes never come singly.,-1,0.7
I can't let the matter drop.,-1,0.8
We just have to swallow it.,-1,0.1
"I quickly laugh at everything, for fear of having to cry.",1,0.9
Rub salt in the wound.,-1,0.2
I feel like crying.,1,0
Try to keep from crying.,1,0.1
I could've cried.,1,0
I can't help crying.,-1,0.9
I don't know whether to cry or to laugh.,1,0.3
Crying is of no avail.,-1,0.9
"There is only one day left, whether we like it or not.",-1,0.5
It's hard to handle crying babies.,-1,0.5
"And, many times, I've cried.",-1,0.1
Don't shout at the crying child. It only adds fuel to the fire.,-1,1.6
"The young man who has not wept is a savage, and the old man who will not laugh is a fool.",-1,0.8
The job advertisement specifically requested females.,-1,0
"Ask, and it shall be given you.",1,0
There is nothing that does not decay.,-1,0.8
The lifeguard is ever ready to help others.,1,0.4
The rescue workers are going to hand out supplies to the victims of the earthquake.,-1,0.3
Try to hold on until a rescue team arrives.,1,0.3
The rescued refugees were longing for freedom.,1,0.5
We waited for hours before help arrived.,-1,0.6
She did not eat anything until she was rescued.,-1,0.5
Where should I go to be admitted into the emergency room?,-1,0.9
Call an ambulance.,1,0
Please send an ambulance.,-1,0.7
The ambulances carried the injured to the nearest hospital.,-1,0.4
Do you need an ambulance?,-1,0.3
The ambulance broke down in the middle of the busy avenue.,-1,0.9
"The rescue worker beat the area, looking for the child.",1,0.7
He was still alive when the rescue party arrived.,1,0.5
The rescue flight had to reckon with strong winds and freezing temperatures.,1,0.3
Urgent business prevented him from going.,-1,0
Urgent business kept me from going shopping with you.,1,0.1
Urgent business kept me from coming soon.,-1,0
Urgent business prevented him from coming.,1,0
Urgent business has called him away.,-1,0.3
Urgent business kept him from going to the concert.,1,0
A sudden illness prevented him from going there.,-1,0.2
A sudden illness forced her to cancel her appointment.,-1,0.9
A sudden illness prevented me from going to the station to meet him.,-1,0.4
The express train does not stop between Shibuya and Naka-Meguro.,1,0.3
The express train is an hour faster than the local.,-1,0.3
Are there any express trains?,-1,0.4
The express train went by so fast that we hardly saw it.,-1,0.6
The express arrives at 6:30 p.m.,-1,0.1
The express starts at six and gets into Tokyo at nine.,1,0.1
How much is the express?,-1,0.4
"To take an express train, we have to get an express ticket in addition to an ordinary ticket.",1,0.6
I need medical help.,-1,0
"Please hurry, it's urgent.",-1,0.6
I burst into tears.,-1,0.7
I suddenly stood up and felt faint and light-headed.,-1,0.4
I'm sorry we gave you such short notice of our visit.,-1,0.5
There was a sudden change in her tone.,-1,0.7
"Suddenly, he changed the subject.",-1,0.7
I've suddenly started to gain weight.,-1,0.3
Don't burst out laughing like that. It's creepy.,-1,1.4
He suddenly missed his watch.,-1,0.4
Don't take that dramatic attitude all of a sudden.,-1,0.9
All of a sudden the sky became overcast.,-1,0.8
Suddenly the heavens opened.,-1,0.1
Suddenly I got lucky.,-1,0
Suddenly rain began to fall.,-1,0.7
"Suddenly, it rained.",-1,0.1
"All of a sudden, large drops of rain began falling from the dark sky.",-1,0.9
I've suddenly lost weight.,-1,0.2
Don't brake suddenly.,-1,0.8
Suddenly Jim pulled the car up in front of the bank.,-1,0.5
The storm broke.,-1,0.8
"All of a sudden, three dogs appeared in front of us.",-1,0.8
"Suddenly, it started to look almost nice and warm.",1,0.2
"If you hurry, you'll catch up with him.",1,0
"If we hurry, we'll make it.",1,0.1
"Hurry, and you will catch the train.",1,0.2
"If you hurry up, you will be in time.",1,0
I think we'll make it if we hurry.,1,0
"Hurry up, and you'll catch the bus.",1,0.1
"If you hurry, you can make the next bus.",1,0.1
"Hurry up, and you'll be in time for school.",1,0.2
"Hurry, help.",1,0.3
Hurry up. You'll be late for school.,0,0.2
"Hurry up, or you will miss the train.",-1,0.4
Come on! We're going to be late.,-0.2,0.4
"Hurry up, or you will miss the last train.",-1,0.2
"Hurry up, or you will be late for the last train.",1,0
There seems no need to hurry.,1,0.1
We needn't have hurried.,-1,0.5
You don't have to hurry.,-1,0.4
There is no hurry; you have five days to think the matter over.,-1,0.6
There's no hurry.,-1,0.6
We didn't need to hurry.,-1,0
Let's hurry up.,1,0
"Hurry up, or you'll be late for school.",-1,0
"Hurry up, and you can catch the train.",1,0.2
"Hurry up, or you will be late.",1,0
You will miss the train if you don't hurry.,-1,0.8
"Hurry up, or you won't catch up with him.",-1,0.1
Hurry up! The concert is starting.,0.3,0.6
"Hurry up, or you'll miss the bus.",-1,0.4
"Hurry up, or you will be late for school.",1,0
"Hurry up, or we'll miss the train.",-1,0.4
"Hurry up, and you will be in time.",1,0.1
"Hurry up, or you'll miss your plane.",-1,0.3
"Hurry up, and you will be able to catch the train.",1,0.3
"Hurry up, and you'll catch the train.",1,0
"Make haste, and you will be in time.",1,0
"Hurry up, and you will be in time for school.",1,0.2
"Hurry up, and you will be in time for the bus.",1,0.1
"Hurry up, and you can catch the bus.",1,0.1
"Hurry up, or you'll miss the train.",-1,0.5
"Make haste, or you will be late.",-1,0
"Hurry up, or you'll be late.",-1,0
"Hurry up, or you will miss the bus.",-1,0.3
"More haste, less speed.",1,0
"Be quick, or you will miss the train.",-1,0.3
"You must hurry up, or you will miss the express.",1,0.3
"Unless you hurry, you will be late for school.",-1,0.8
You can take your time.,-1,0
We've got to hurry. Mr Itoh will call the roll.,1,0.4
"Hurry, or you'll miss the train.",-1,0.4
"Hurry up, otherwise you'll be late for lunch.",-1,0.1
Hurry or we'll never make the train!,-1,0.7
"Hurry up, or it will start raining.",1,0
You'll miss the train if you don't hurry.,-1,0.8
"If you don't hurry, you'll miss the train.",-1,0.8
Don't dash off a sloppily written report filled with mistakes.,-1,0.9
You make mistakes if you do things in a hurry.,-1,0.1
Please hurry and finish the prospectus.,-1,0.2
Hurry up and set the table for dinner.,1,0.2
There's enough time for a quick snack.,1,0.5
"Having been written in haste, his letter was hard to read.",-1,0.7
